Shape,1k Real 1,1k Real 2,1k Real 3,1k Img 1,1k Img 2,1k Img 3,2k Real 1,2k Real 2,2k Real 3,2k Img 1,2k Img 2,2k Img 3
Aluminium Cube,0.060554562,0.059827759,0.111270168,0.416492898,0.418958131,0.210249038,-0.184673944,-0.183052054,0.071880492,-0.196234501,-0.19037524,-0.639533912
Aluminium Cube,0.037227929,0.036453153,0.094708957,0.497252449,0.499699508,0.278334867,-0.104836233,-0.101570308,-0.091198847,-0.04783674,-0.04201126,-0.447595086
Aluminium Cube,0.013088414,0.012300631,0.074675511,0.574473197,0.5767864,0.356225621,0.012990659,0.016684345,-0.17708953,0.095988199,0.101853832,-0.256036777
Aluminium Cube,-0.010705983,-0.011475056,0.052082767,0.644731688,0.646836984,0.438710648,0.124405697,0.127240349,-0.168036342,0.242848099,0.248756379,-0.078259812
Aluminium Cube,-0.033072654,-0.033795085,0.027909371,0.705698958,0.707530916,0.520924807,0.191926469,0.192981981,-0.081598337,0.396968909,0.40296869,0.084082146
Aluminium Cube,-0.052931257,-0.053580711,0.003296215,0.755972308,0.757487584,0.598650591,0.198354278,0.197404036,0.039087432,0.555416387,0.561271197,0.236723281
Aluminium Cube,-0.069557272,-0.070105388,-0.020794564,0.794946721,0.796154214,0.668613228,0.150994113,0.148490608,0.141871083,0.70748003,0.712865455,0.387178026
Aluminium Cube,-0.082096139,-0.082523027,-0.043180205,0.822651867,0.823550073,0.728635865,0.077101538,0.073978987,0.190104384,0.83743875,0.841900737,0.539955642
Aluminium Cube,-0.089975569,-0.090263949,-0.062824921,0.839366905,0.839958449,0.777522571,0.011353415,0.008665951,0.170336369,0.928657945,0.931801063,0.692155214
Aluminium Cube,-0.092936878,-0.093083878,-0.078947711,0.845362687,0.845652672,0.814842167,-0.017305425,-0.018769954,0.096545168,0.968033327,0.969621704,0.833314219
Aluminium Cube,-0.090809758,-0.090812402,-0.090798312,0.840781349,0.840791751,0.840737837,0.003200863,0.003212476,0.003155543,0.949722532,0.950164907,0.94842554
